PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 	
49625		247770	
49625			
10849		67405	
4695			
15544			
		8211	
		394	
		28	
		10	
65169		323818	
			
35989		217531	
3041			
39030			
13340		113033	
9319			
3671			
2542			
28872			
		393	
67902		343256	
			
514979		2585514	
			
240704		1474028	
50807			
9274			
5909			
4778			
4376			
3313			
3993		163	
1064		48	
324218			
68597		693291	
57776			
18171			
11020			
10787			
10506			
8380			
8158			
7092			
3781			
204268			
		430934	
		32252	
		2346	
		151	
		2	
528486		2633215	
			
			
40295		261936	
15159			
6059			
33			
61546			
1021			
1021			
67			
67			
		4197	
62634		266133	
			
24375		259257	
2265			
44			
26684			
569			
569			
38			
38			
		4078	
27291		263335	
			
24105		212119	
196			
24301			
12928		109372	
6527			
38			
19493			
17			
17			
		262	
43811		321753	
			
36557		221303	
2635			
1373			
73			
40638			
14834		129936	
2735			
2669			
25			
20263			
18			
18			
		10741	
		265	
60919		362245	
			
38196		257490	
316			
38512			
4789		82944	
3531			
3250			
65			
11635			
18			
18			
		675	
50165		341109	
			
28395		180942	
517			
28912			
18331		176612	
186			
18517			
		16739	
18			
18			
		514	
47447		374807	
			
32445		210794	
446			
32891			
		41199	
45			
45			
466			
466			
		843	
33402		252836	
			
29352		263999	
369			
29721			
5968		82242	
4081			
47			
10096			
13			
13			
		570	
39830		346811	
			
31366		212754	
21675			
47			
53088			
11046		116531	
10697			
94			
21837			
		32655	
25			
25			
		465	
74950		362405	
			
440449		2891434	
			
308979		1696346	
7638			
316617			
133860		1458048	
733			
134593			
333			
333			
		2159	
451543		3156553	
			
			
64411		167060	
64411			
36339		165179	
36339			
100750		347037	
			
58170		194653	
58170			
1813		108973	
1813			
59983		318267	
			
51113		171675	
16		2	
51129			
13414		144108	
9321			
22735			
73864		326283	
			
67028		197386	
67028			
20519		104996	
20519			
87547		312949	
			
51840		214531	
51840			
16951		103931	
9583			
26534			
		6694	
78374		330146	
			
45919		174955	
23072			
68991			
14224		136563	
14224			
83215		320475	
			
45592		169668	
14386			
59978			
18812		136849	
9371			
28183			
88161		318069	
			
56208		202217	
6098			
3257			
65563			
29322		128657	
29322			
		6097	
94885		345054	
			
55198		208846	
55198			
24521		114760	
15283			
39804			
95002		337316	
			
68063		226075	
68063			
13480		97734	
9705			
23185			
		4803	
91248		328612	
			
42470		181788	
21436			
161			
14			
64081			
21953		158879	
15338			
37291			
		3251	
		14	
		1	
101372		358139	
			
11450		159258	
11450			
10280		151736	
8803			
2653			
1715			
1208			
24659			
		11606	
		6529	
		8	
36109		329137	
			
41116		216884	
11226			
52342			
12028		92472	
11670			
10			
23708			
76050		319223	
			
38371		235336	
12586			
8708			
6928			
2664			
69257			
8462		38769	
8462			
77719		284270	
			
41230		270450	
30847			
11644			
2919			
1027			
87667			
17691		51395	
17691			
105358		328792	
			
1249637		4903769	
			
555719		2735826	
555719			
398873		1767386	
246685			
48761			
40600			
734919			
		11229	
		48	
		10	
		7	
		4	
1290638		4652918	
			
			
15697		193211	
15697			
12540		142164	
10622			
23162			
		505	
38859		335880	
			
15859		193587	
2772			
18631			
11628		164338	
11628			
		520	
		1	
30259		358446	
			
18672		222335	
2032			
20704			
11786		159937	
11786			
		433	
32490		382705	
			
27291		216685	
3212			
1913			
32416			
6876		109659	
3856			
10732			
545		21135	
545			
		502	
		10	
43693		347991	
			
30609		262102	
2143			
1397			
34149			
5966		88753	
5966			
		1105	
