PRIMARY	RUNOFF	GENERAL
49544		89019
53347		
1102		73635
5308		
24470		503124
11454		
64273		
6478		91949
8511		
1378		21177
2498		
9999		20730
31550		32541
74480		
2891	1955	95120
3807	342	
305		
1829	5373	
31433	1975	504313
84244		50482
95176		
8076		90444
3027		
80762		763632
89210		39638
76660		
4155		18874
2776		
31616		542117
3015278	3569	6580542
		834325
		
		
		
		
		561289
		517675
		
		
		261689
23748		76187
		
78635		
88093		
11092		985896
87087		896210
		113813
23009		46364
40319		
1917		9359
6178		
33125		
380		905
1		
122		
		7821
		9765
		435
27687		
589		
209		
108		
678		
436		
51118		
582		
585		
93239		714662
87205		453367
2054		
23273		
36721		745058
20379		
835		
12396		
22		981
9		
79		
926		
772		
		9990
		6071
		792
		345
		278
		905
15832		327243
17576		261936
34722		9948807
87743		
979887		
		99805
		9880
749953		7790489
		
		6976
		948
		214533
		645
		697543
		7869
		246148
		28759
		148
		135860
		
		4174
		42
		634036
		42598
