PRIMARY	RUNOFF	GENERAL 
54417		118167
54417		
95745		324376
77513		104864
77513		
9292		69458
7236		
16528		
94041		180951
84819		123494
84819		
14073		52524
14073		
98892		179740
42222		79718
42222		
5302		25512
5302		
47524		106794
90425		168249
90425		
5366		32361
5366		
95791		203976
46388		175563
46388		
58792		106559
58792		
105180		291304
28736		116283
28736		
20043	1981	82406
14929	753	
9705		
44677	2734	
		4421
73413	2734	203110
2814376	25370	7528622
997216		4337469
226649		
1223865		
1110579		3389365
584966		
269402		
212305		
2177252		
3401117		7912075
		303445
		
		
		
		
		
		348325
28618		187035
19255		
		
		
		
47873		
47873		285069
47873		936839
19566		248203
2635		
98		
22299		
609		
600		
1209		
		10818
261		9081
34		
295		
131		5307
6		
137		
		2552
23940		298151
23940		298151
8559		28153
2289		
5		
		69
10853		
10853		28222
10853		28222
		756
		360292
		368
		270711
		7377
		247288
		405
		334521
		183
		317076
		5413
		262
		312392
		683
		372337
11792		222986
1764		
13556		
3286		97425
2577		
5863		
		6829
		957
19419		328197
		6264
		213570
16726		223140
1506		
18232		
5462		147357
3377		
8839		
		8457
		526
27071		379480
14233		196598
8196		
1508		
638		
24575		
		864
24575		359491
