PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 		
14217				
				
				
44133		90184		
				
24728		49338		
24728				
6239		21324		
6239				
30967		73105		
				
32770		85807		
32770				
10141		43049		
10141				
				
42911		132865		
				
14373		76097		
14373				
6527		26249		
6527				
		2362		
20900		106010		
				
39611		90160		
14498				
7429				
61538				
6476		21458		
6476				
		54		
68014		116818		
				
16275		66554		
16275				
				
16275		87964		
				
40441		135660		
22681				
3796				
66918				
				
				
66918		188996		
				
33167		100861		
33167				
3378		47844		
2973				
6351				
39518		151566		
				
10496	8699	57459		
10332	5930			
4796				
25624	14629			
26484		55037		
26484				
52108	14629	115429		
				
34265		93712		
34265				
8247		46548		
8247				
